Adjective,Language,masculine_similarity,feminine_similarity,exclusive_masculine_similarity,exclusive_feminine_similarity,neuter_similarity,depersonalized_masculine_similarity,depersonalized_feminine_similarity,adjective.masc-form,adjective.fem-form,grammatical_gender,masculine_score,feminine_score,Definition
gebürtig,German,0.3431887203185101,0.3134085885120814,0.0,0.0,0.0994923978729687,0.060996183991274,0.0207927089343235,,,,0.3431887203185101,0.3134085885120814,native
weiblich,German,0.3193931943121986,0.3133332746069395,0.0,0.0,0.20356340067926,0.4608255054742047,0.3845732176724306,,,,0.3193931943121986,0.3133332746069395,female Sie gehört dem weiblichen Geschlecht an
mutterlos,German,0.3166565233492526,0.3127889092848975,0.0,0.0,0.2434582681067294,0.2030203632864424,0.1603930756040298,,,,0.3166565233492526,0.3127889092848975,motherless
erwidert,German,0.3131948322882171,0.3122575742199594,0.0,0.0,0.1140037345453193,0.1578805090264536,0.1785753642987509,,,,0.3131948322882171,0.3122575742199594,"reciprocated , returned Antonyms: unerwidert , nicht erwidert erwiderte Liebe ― reciprocated love nicht erwiderte Zuneigung ― unreturned affection"
cringe,German,0.2882907490028479,0.3109367215834288,0.0,0.0,0.1803538316569285,0.2607244163643884,0.2636734925822563,,,,0.2882907490028479,0.3109367215834288,"( slang , derogatory ) Synonym of cringeworthy or uncool , inducing awkwardness or secondhand embarrassment "
geschieden,German,0.3275756143518061,0.3108756583615624,0.0,0.0,0.1438967336596556,0.1452043674695499,0.127145808800984,,,,0.3275756143518061,0.3108756583615624,divorced
unbekleidet,German,0.2857775503552004,0.3098690298806327,0.0,0.0,0.143626085377649,0.2572879307993444,0.2132777898740053,,,,0.2857775503552004,0.3098690298806327,"unclothed , undressed , naked"
honett,German,0.3097232416179201,0.3088373441725451,0.0,0.0,0.2637059973492804,0.2236862012951754,0.182730516175846,,,,0.3097232416179201,0.3088373441725451,honourable
altkrank,German,0.3376359785205428,0.3084667079224553,0.0,0.0,0.2783755471126374,0.1184305818645804,0.1688003484843716,,,,0.3376359785205428,0.3084667079224553,( uncommon ) having an old (longstanding) illness or injury ein altkranker Bock
erogen,German,0.2888083143827917,0.3072085742335611,0.0,0.0,0.1703902896953449,0.3321960356866048,0.282812346839983,,,,0.2888083143827917,0.3072085742335611,erogenous
polemogen,German,0.3291223295800736,0.3043604748195968,0.0,0.0,0.276027367056151,0.1771673529141694,0.1918618316471587,,,,0.3291223295800736,0.3043604748195968,polemic
hormonhaltig,German,0.3265041586051664,0.3037944007944322,0.0,0.0,0.2366221643390081,0.3395678466223057,0.3099396776662528,,,,0.3265041586051664,0.3037944007944322,containing hormones
tablettensüchtig,German,0.333196561248297,0.3031530993048504,0.0,0.0,0.2352292042671304,0.1161176752234259,0.1670221759561899,,,,0.333196561248297,0.3031530993048504,addicted to pills
busig,German,0.2637877123890094,0.302863003635534,0.0,0.0,0.1503961611412665,0.1806876630705883,0.1203588015359388,,,,0.2637877123890094,0.302863003635534,"busty , bosomy"
wohlgeborn,German,0.2801540350986449,0.3023161117053434,0.0,0.0,0.2043716008405645,0.2469526638013681,0.167776055026493,,,,0.2801540350986449,0.3023161117053434,Obsolete spelling of wohlgeboren
spindeldürr,German,0.321100107250037,0.302119501687923,0.0,0.0,0.1380486726726071,0.1820600935719911,0.224030049030838,,,,0.321100107250037,0.302119501687923,"spindly ; as thin as a spindle ; as thin as a rail , as thin as a rake"
bildhübsch,German,0.2828128693509324,0.3019948997535165,0.0,0.0,0.0495348741099041,0.2340721676273441,0.165645695324452,,,,0.2828128693509324,0.3019948997535165,"pretty as a picture , gorgeous Synonyms: attraktiv , bildschön 2010 , Jasmin Tabatabai, Rosenjahre , →ISBN : Sorur, die Ehefrau des Doktors, war nicht nur bildhübsch , sondern auch ausgesprochen pragmatisch"
schwindsüchtig,German,0.3309487122553032,0.3008740700910985,0.0,0.0,0.1637180493479138,0.1778021472130404,0.1617562197970993,,,,0.3309487122553032,0.3008740700910985,"tubercular , consumptive Synonyms: phthisisch , tuberkulös"
stutenbissig,German,0.3059262400485826,0.3002967614291758,0.0,0.0,0.1464169773387601,0.1886043909271062,0.2173255213420817,,,,0.3059262400485826,0.3002967614291758,snappy
androzentrisch,German,0.2576919031067181,0.3002659231923096,0.0,0.0,0.3011829396161695,0.449947204017539,0.4323364345935487,,,,0.2576919031067181,0.3002659231923096,androcentric
schwarzäugig,German,0.3204139622265555,0.2991290843445389,0.0,0.0,0.2132571428782423,0.2436166206918761,0.1732623522201398,,,,0.3204139622265555,0.2991290843445389,black-eyed
impardonnabel,German,0.2812221320543086,0.29838311785656,0.0,0.0,0.2023445601600934,0.1869191855825346,0.1594784172678752,,,,0.2812221320543086,0.29838311785656,unpardonable
vernehmungsfähig,German,0.3149678223012141,0.2982790156742143,0.0,0.0,0.1507230661328369,0.0628544554478523,0.0922671824256431,,,,0.3149678223012141,0.2982790156742143,"interrogative , interrogatable"
