Adjective,Language,masculine_similarity,feminine_similarity,exclusive_masculine_similarity,exclusive_feminine_similarity,neuter_similarity,depersonalized_masculine_similarity,depersonalized_feminine_similarity,masculine_score,feminine_score,Alternate Form,Definition
indígena,Spanish,0.3090414353036724,0.3855280228605248,0.0,0.0,0.272841974593549,0.3173859595203815,0.3045872957678055,0.3090414353036724,0.3855280228605248,indígeno,indigenous
gay,Spanish,0.3865211142615104,0.3841276346525195,0.0,0.0,0.2318182846699958,0.2867810447151118,0.3897851702236671,0.3865211142615104,0.3841276346525195,,Homosexual : ( of a person ) Possessing sexual and/or romantic attraction towards people one perceives to be the same sex or gender as oneself
travestista,Spanish,0.4045713180999533,0.3833657296411779,0.0,0.0,0.2909267666520851,0.4183259890252944,0.3859814032770631,0.4045713180999533,0.3833657296411779,travestisto,transvestic
violador,Spanish,0.4159864371585851,0.3825796375568488,0.0,0.0,0.2147329238472252,0.1974193966542724,0.2413059938167682,0.4159864371585851,0.3825796375568488,,violating
núbil,Spanish,0.2296244679661321,0.381650432908695,0.0,0.0,0.1425186674302403,0.0652550541708658,0.2022547744469392,0.2296244679661321,0.381650432908695,,nubile
enamoradísimo,Spanish,0.3688085347284794,0.381327507903177,0.0,0.0,0.2357108296081669,0.1623936503097429,0.2043213314550389,0.3688085347284794,0.381327507903177,enamoradísima,superlative degree of enamorado
cantante,Spanish,0.3135007184303348,0.3812081374864239,0.0,0.0,0.2989811361779376,0.214607404053388,0.1184218147087768,0.3135007184303348,0.3812081374864239,,"who sings , singing El gato cantante "
posfeminista,Spanish,0.2253659186963227,0.3811454379133523,0.0,0.0,0.16978308146823,0.4356394750199334,0.4466188675830941,0.2253659186963227,0.3811454379133523,posfeministo,"postfeminist 2016 July 30, “Yuya presentará sus ""Confesiones"" en Feria del Libro Panamá”, in El Comercio ‎ [1] : confirmados están, entre otros, la considerada ""prodigio"" del humor posfeminista Amanda Filipacchi; Anna Renné Todd, que ha calado entre la juventud; el novelista, ensayista y poeta Rigoberto González; y el escritor y conferenciante motivacional Camilo Cruz"
infanticida,Spanish,0.2939976799461455,0.3794691548417084,0.0,0.0,0.2392630698381633,0.2781779892081237,0.2047109551470017,0.2939976799461455,0.3794691548417084,infanticido,infanticidal
gentil,Spanish,0.3686924606223672,0.3791002774293773,0.0,0.0,0.3668476772213321,0.1741128718941765,0.1678358911074835,0.3686924606223672,0.3791002774293773,,"kind , courteous"
filicida,Spanish,0.3077997073430819,0.378179622875358,0.0,0.0,0.2230340074816252,0.277036953279741,0.2893087095754645,0.3077997073430819,0.378179622875358,filicido,filicidal
primogénito,Spanish,0.423386015675272,0.3780461289645096,0.0,0.0,0.2357312665697866,0.1903732968769662,0.1075184249925596,0.423386015675272,0.3780461289645096,primogénita,European Portuguese standard spelling of primogênito 
empoderante,Spanish,0.2552989975956047,0.3748004163794018,0.0,0.0,0.3145795354940981,0.375864288049145,0.4083484924191555,0.2552989975956047,0.3748004163794018,,"empowering 2018 July, “Arte y poder de los desobedientes”, in El Pais (Uruguay) ‎ [1] : “Fue un movimiento empoderante ”, dijo el curador y “además desobediente, porque al otro día eran elecciones municipales y están prohibidas las manifestaciones políticas las 24 horas previas”"
sobreviviente,Spanish,0.3578638867984728,0.3740615634003616,0.0,0.0,0.3780834226141782,0.2712138051529791,0.2489671217935576,0.3578638867984728,0.3740615634003616,,surviving Synonym: superviviente
invidente,Spanish,0.333862523665771,0.3723314970118747,0.0,0.0,0.4061147880726272,0.1519856323778773,0.017922840302818,0.333862523665771,0.3723314970118747,,blind Synonym: ciego
prepúber,Spanish,0.3246933411357242,0.3718187521170229,0.0,0.0,0.2849924793619245,0.2305925913763652,0.3078324736455763,0.3246933411357242,0.3718187521170229,,prepubescent
concubinario,Spanish,0.3565965037873789,0.3708122455308865,0.0,0.0,0.3114152566149875,0.3420950236060547,0.1666162915159678,0.3565965037873789,0.3708122455308865,concubinaria,concubinary
misógino,Spanish,0.4133436701166884,0.3705803791622597,0.0,0.0,0.1698401433483535,0.1956976109050056,0.391776090229153,0.4133436701166884,0.3705803791622597,misógina,"misogynistic , misogynist , misogynic , misogynous ( exhibiting misogyny )"
familiar,Spanish,0.3038950886277992,0.3699532051196906,0.0,0.0,0.3804255395886373,0.263877412054667,0.2576641472794302,0.3038950886277992,0.3699532051196906,,"Known to one, or generally known; commonplace "
cornudo,Spanish,0.4179809353707132,0.3698494161570368,0.0,0.0,0.1707415520655983,0.1728306024537952,0.1962012471057448,0.4179809353707132,0.3698494161570368,cornuda,horned
feminizante,Spanish,0.3155857341831509,0.3697475252087835,0.0,0.0,0.1390938563459287,0.4290693863405165,0.5107802100269506,0.3155857341831509,0.3697475252087835,,feminizing
