LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
es,feminine,luna,seductora,0.1283539,masculine
es,feminine,luna,señora,0.1018742,masculine
es,feminine,luna,delincuente,0.08006538,masculine
es,feminine,luna,afortunada,0.14284186,masculine
es,feminine,luna,guerrera,0.077962756,masculine
es,feminine,luna,camionera,0.13494943,masculine
es,feminine,luna,polifacética,0.107671075,masculine
es,feminine,luna,vaquera,0.14484172,masculine
es,feminine,luna,necia,0.11759701,masculine
es,feminine,luna,asesina,0.123439394,masculine
es,feminine,luna,visionaria,0.11134232,masculine
es,feminine,luna,piadosa,0.1567474,masculine
es,feminine,luna,madura,0.2185438,masculine
es,feminine,luna,acaudalada,0.11985843,masculine
es,feminine,luna,metrosexual,0.06538651,masculine
es,feminine,luna,viviente,0.11417522,masculine
es,feminine,luna,macho,0.18504544,masculine
es,feminine,luna,mona,0.07808534,masculine
es,feminine,luna,poderosa,0.11537988,masculine
es,feminine,luna,encarnada,0.09012206,masculine
es,feminine,luna,honrada,0.15760648,masculine
es,feminine,luna,galana,0.21766376,masculine
es,feminine,luna,pensadora,0.14362112,masculine
es,feminine,luna,primitiva,0.1735772,masculine
es,feminine,luna,hombruna,0.097599186,masculine
es,feminine,luna,octogenaria,0.106295526,masculine
es,feminine,luna,masculina,0.15822071,masculine
es,feminine,luna,ruda,0.11757047,masculine
es,feminine,luna,depravada,0.13692704,masculine
es,feminine,luna,buenmoza,0.1339981,masculine
es,feminine,luna,caballerosa,0.099985264,masculine
es,feminine,luna,astuta,0.1832825,masculine
es,feminine,luna,atea,0.10668533,masculine
es,feminine,luna,forzuda,0.087085254,masculine
es,feminine,luna,embarazada,0.122849315,masculine
es,feminine,luna,viajadora,0.08376607,masculine
es,feminine,luna,ciudadana,0.21089153,masculine
es,feminine,luna,infeliz,0.061130285,masculine
es,feminine,luna,mujeriega,0.19576883,masculine
es,feminine,luna,agricultora,0.08612478,masculine
es,feminine,luna,intrépida,0.074946955,masculine
es,feminine,luna,civilizada,0.103287965,masculine
es,feminine,luna,aventurera,0.10606578,masculine
es,feminine,luna,bondadosa,0.047609102,masculine
es,feminine,luna,semihumana,0.13202731,masculine
es,feminine,luna,heterosexual,0.037343003,masculine
es,feminine,luna,tímido,0.08355271,masculine
es,feminine,luna,cultísima,0.08951851,masculine
es,feminine,luna,sapiente,0.061231848,masculine
es,feminine,escoba,individua,0.3098921,masculine
es,feminine,escoba,humana,0.108690105,masculine
es,feminine,escoba,chica,0.1061397,masculine
es,feminine,escoba,anciana,0.2353057,masculine
es,feminine,escoba,joven,0.12856664,masculine
es,feminine,escoba,sabia,0.35997295,masculine
es,feminine,escoba,jovencita,0.16207977,masculine
es,feminine,escoba,animal,0.16845037,masculine
es,feminine,escoba,creyente,0.2837242,masculine
es,feminine,escoba,campesina,0.32878917,masculine
es,feminine,escoba,adinerada,0.26064378,masculine
es,feminine,escoba,fornida,0.22379732,masculine
es,feminine,escoba,trabajadora,0.17444411,masculine
es,feminine,escoba,sujeta,0.29192352,masculine
es,feminine,escoba,desgraciada,0.44925448,masculine
es,feminine,escoba,vagabunda,0.25947514,masculine
es,feminine,escoba,guapa,0.23804319,masculine
es,feminine,escoba,cristiana,0.065695025,masculine
es,feminine,escoba,desdichada,0.23357901,masculine
es,feminine,escoba,pecadora,0.42691487,masculine
es,feminine,escoba,soñadora,0.35465518,masculine
es,feminine,escoba,procreadora,0.32235757,masculine
es,feminine,escoba,barbuda,0.22494097,masculine
es,feminine,escoba,corpulenta,0.28881162,masculine
es,feminine,escoba,vieja,0.28115728,masculine
es,feminine,escoba,amante,0.06796747,masculine
es,feminine,escoba,perra,0.41087633,masculine
es,feminine,escoba,cazadora,0.16927108,masculine
es,feminine,escoba,pescadora,0.19021802,masculine
es,feminine,escoba,soltera,0.21726976,masculine
es,feminine,escoba,seductora,0.17149256,masculine
es,feminine,escoba,señora,0.32273516,masculine
es,feminine,escoba,delincuente,0.4724184,masculine
es,feminine,escoba,afortunada,0.33744362,masculine
es,feminine,escoba,guerrera,0.30227584,masculine
es,feminine,escoba,camionera,0.31374374,masculine
es,feminine,escoba,polifacética,0.33612585,masculine
es,feminine,escoba,vaquera,0.2662547,masculine
es,feminine,escoba,necia,0.36618176,masculine
es,feminine,escoba,asesina,0.3981987,masculine
es,feminine,escoba,visionaria,0.1074679,masculine
es,feminine,escoba,piadosa,0.36126292,masculine
es,feminine,escoba,madura,0.20642383,masculine
es,feminine,escoba,acaudalada,0.37478662,masculine
es,feminine,escoba,metrosexual,0.19881229,masculine
es,feminine,escoba,viviente,0.25711983,masculine
es,feminine,escoba,macho,0.10954152,masculine
es,feminine,escoba,mona,0.3342274,masculine
es,feminine,escoba,poderosa,0.09680898,masculine
es,feminine,escoba,encarnada,0.3760507,masculine
es,feminine,escoba,honrada,0.3285923,masculine
es,feminine,escoba,galana,0.3350682,masculine
es,feminine,escoba,pensadora,0.18500105,masculine
es,feminine,escoba,primitiva,0.07832762,masculine
es,feminine,escoba,hombruna,0.26527566,masculine
es,feminine,escoba,octogenaria,0.3868791,masculine
es,feminine,escoba,masculina,0.027835995,masculine
es,feminine,escoba,ruda,0.28350013,masculine
es,feminine,escoba,depravada,0.42330334,masculine
es,feminine,escoba,buenmoza,0.42183545,masculine
es,feminine,escoba,caballerosa,0.38183948,masculine
es,feminine,escoba,astuta,0.2590641,masculine
es,feminine,escoba,atea,0.30661976,masculine
es,feminine,escoba,forzuda,0.42712718,masculine
es,feminine,escoba,embarazada,0.31119344,masculine
es,feminine,escoba,viajadora,0.29570562,masculine
es,feminine,escoba,ciudadana,0.25864676,masculine
es,feminine,escoba,infeliz,0.32398328,masculine
es,feminine,escoba,mujeriega,0.0977287,masculine
es,feminine,escoba,agricultora,0.29154897,masculine
