LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
es,feminine,luna,seductora,0.18548523,masculine
es,feminine,luna,señora,0.188768,masculine
es,feminine,luna,delincuente,0.3508465,masculine
es,feminine,luna,afortunada,0.19337733,masculine
es,feminine,luna,guerrera,0.23611222,masculine
es,feminine,luna,camionera,0.21806718,masculine
es,feminine,luna,polifacética,0.2488877,masculine
es,feminine,luna,vaquera,0.33053073,masculine
es,feminine,luna,necia,0.31783125,masculine
es,feminine,luna,asesina,0.25454128,masculine
es,feminine,luna,visionaria,0.20784585,masculine
es,feminine,luna,piadosa,0.23956253,masculine
es,feminine,luna,madura,0.3412213,masculine
es,feminine,luna,acaudalada,0.24733137,masculine
es,feminine,luna,metrosexual,0.15494093,masculine
es,feminine,luna,viviente,0.19004866,masculine
es,feminine,luna,macho,0.2596818,masculine
es,feminine,luna,mona,0.24834603,masculine
es,feminine,luna,poderosa,0.2596818,masculine
es,feminine,luna,encarnada,0.32019973,masculine
es,feminine,luna,honrada,0.16633542,masculine
es,feminine,luna,galana,0.24752833,masculine
es,feminine,luna,pensadora,0.2384982,masculine
es,feminine,luna,primitiva,0.2596818,masculine
es,feminine,luna,hombruna,0.15741502,masculine
es,feminine,luna,octogenaria,0.2477561,masculine
es,feminine,luna,masculina,0.2596818,masculine
es,feminine,luna,ruda,0.1896805,masculine
es,feminine,luna,depravada,0.33093092,masculine
es,feminine,luna,buenmoza,0.21879177,masculine
es,feminine,luna,caballerosa,0.20368373,masculine
es,feminine,luna,astuta,0.29990324,masculine
es,feminine,luna,atea,0.29593644,masculine
es,feminine,luna,forzuda,0.30390477,masculine
es,feminine,luna,embarazada,0.24732345,masculine
es,feminine,luna,viajadora,0.2189658,masculine
es,feminine,luna,ciudadana,0.2660372,masculine
es,feminine,luna,infeliz,0.26506352,masculine
es,feminine,luna,mujeriega,0.20228998,masculine
es,feminine,luna,agricultora,0.14975409,masculine
es,feminine,luna,intrépida,0.2656373,masculine
es,feminine,luna,civilizada,0.21608803,masculine
