LANGUAGE,GRAMMATICAL GENDER OF NOUN,NOUN,ADJECTIVE,COSINE SIMILARITY,GENDER ASSOCIATION OF ADJECTIVE
es,feminine,luna,seductora,0.49041358,masculine
es,feminine,luna,señora,0.5921976,masculine
es,feminine,luna,delincuente,0.47084787,masculine
es,feminine,luna,afortunada,0.46828386,masculine
es,feminine,luna,guerrera,0.5286501,masculine
es,feminine,luna,camionera,0.47157124,masculine
es,feminine,luna,polifacética,0.41473058,masculine
es,feminine,luna,vaquera,0.5304207,masculine
es,feminine,luna,necia,0.54779375,masculine
es,feminine,luna,asesina,0.51835877,masculine
es,feminine,luna,visionaria,0.5536823,masculine
es,feminine,luna,piadosa,0.52975905,masculine
es,feminine,luna,madura,0.5897995,masculine
es,feminine,luna,acaudalada,0.4607458,masculine
es,feminine,luna,metrosexual,0.4658844,masculine
es,feminine,luna,viviente,0.55492395,masculine
es,feminine,luna,macho,0.5282027,masculine
es,feminine,luna,mona,0.6535517,masculine
es,feminine,luna,poderosa,0.57352555,masculine
es,feminine,luna,encarnada,0.46400645,masculine
es,feminine,luna,honrada,0.54450333,masculine
es,feminine,luna,galana,0.58132714,masculine
es,feminine,luna,pensadora,0.5657857,masculine
es,feminine,luna,primitiva,0.57820505,masculine
es,feminine,luna,hombruna,0.49424013,masculine
es,feminine,luna,octogenaria,0.44584495,masculine
es,feminine,luna,masculina,0.57776666,masculine
es,feminine,luna,ruda,0.597381,masculine
es,feminine,luna,depravada,0.5073275,masculine
es,feminine,luna,buenmoza,0.43167308,masculine
es,feminine,luna,caballerosa,0.4789411,masculine
es,feminine,luna,astuta,0.5417192,masculine
es,feminine,luna,atea,0.58934313,masculine
es,feminine,luna,forzuda,0.55547076,masculine
es,feminine,luna,embarazada,0.53198665,masculine
es,feminine,luna,viajadora,0.4816205,masculine
es,feminine,luna,ciudadana,0.5611266,masculine
es,feminine,luna,infeliz,0.5373888,masculine
es,feminine,luna,mujeriega,0.4717242,masculine
es,feminine,luna,agricultora,0.4695999,masculine
es,feminine,luna,intrépida,0.5117849,masculine
es,feminine,luna,civilizada,0.55210006,masculine
es,feminine,luna,aventurera,0.47883698,masculine
es,feminine,luna,bondadosa,0.50561273,masculine
es,feminine,luna,semihumana,0.54942095,masculine
es,feminine,luna,heterosexual,0.47269443,masculine
es,feminine,luna,tímido,0.4702418,masculine
es,feminine,luna,cultísima,0.52569324,masculine
es,feminine,luna,sapiente,0.508306,masculine
es,feminine,escoba,individua,0.6094033,masculine
es,feminine,escoba,humana,0.7057281,masculine
es,feminine,escoba,chica,0.7076786,masculine
es,feminine,escoba,anciana,0.65228,masculine
es,feminine,escoba,joven,0.65737486,masculine
es,feminine,escoba,sabia,0.6996751,masculine
es,feminine,escoba,jovencita,0.67930305,masculine
es,feminine,escoba,animal,0.71726537,masculine
es,feminine,escoba,creyente,0.6080906,masculine
es,feminine,escoba,campesina,0.59470147,masculine
es,feminine,escoba,adinerada,0.6255715,masculine
es,feminine,escoba,fornida,0.6333087,masculine
es,feminine,escoba,trabajadora,0.61830604,masculine
es,feminine,escoba,sujeta,0.6395939,masculine
es,feminine,escoba,desgraciada,0.68910944,masculine
es,feminine,escoba,vagabunda,0.6077285,masculine
es,feminine,escoba,guapa,0.68770283,masculine
es,feminine,escoba,cristiana,0.6970256,masculine
es,feminine,escoba,desdichada,0.64364934,masculine
es,feminine,escoba,pecadora,0.69345844,masculine
es,feminine,escoba,soñadora,0.64268875,masculine
es,feminine,escoba,procreadora,0.68351465,masculine
es,feminine,escoba,barbuda,0.65657824,masculine
es,feminine,escoba,corpulenta,0.625911,masculine
es,feminine,escoba,vieja,0.65241265,masculine
es,feminine,escoba,amante,0.6987496,masculine
es,feminine,escoba,perra,0.6307627,masculine
es,feminine,escoba,cazadora,0.68601155,masculine
es,feminine,escoba,pescadora,0.6569678,masculine
es,feminine,escoba,soltera,0.63678426,masculine
es,feminine,escoba,seductora,0.58666235,masculine
es,feminine,escoba,señora,0.70760024,masculine
es,feminine,escoba,delincuente,0.685182,masculine
es,feminine,escoba,afortunada,0.57494885,masculine
es,feminine,escoba,guerrera,0.6716644,masculine
es,feminine,escoba,camionera,0.5697577,masculine
es,feminine,escoba,polifacética,0.5693212,masculine
es,feminine,escoba,vaquera,0.703955,masculine
es,feminine,escoba,necia,0.6931838,masculine
es,feminine,escoba,asesina,0.6247825,masculine
es,feminine,escoba,visionaria,0.5587071,masculine
es,feminine,escoba,piadosa,0.6084451,masculine
es,feminine,escoba,madura,0.63315916,masculine
es,feminine,escoba,acaudalada,0.6475495,masculine
es,feminine,escoba,metrosexual,0.58491874,masculine
es,feminine,escoba,viviente,0.6377934,masculine
es,feminine,escoba,macho,0.68915623,masculine
es,feminine,escoba,mona,0.69115496,masculine
es,feminine,escoba,poderosa,0.67534035,masculine
es,feminine,escoba,encarnada,0.6792964,masculine
es,feminine,escoba,honrada,0.67402333,masculine
es,feminine,escoba,galana,0.66552114,masculine
es,feminine,escoba,pensadora,0.6359673,masculine
es,feminine,escoba,primitiva,0.71033543,masculine
es,feminine,escoba,hombruna,0.6179626,masculine
es,feminine,escoba,octogenaria,0.57832384,masculine
es,feminine,escoba,masculina,0.6792862,masculine
es,feminine,escoba,ruda,0.6609116,masculine
es,feminine,escoba,depravada,0.6725749,masculine
